,A薬品庫右,A薬品庫左,B薬品庫,冷蔵①,冷蔵②,冷蔵③,冷蔵④,冷蔵⑤,冷蔵⑥,冷凍,D薬品庫,無水箱,個人所有,その他,3階試薬庫,none,メーカー名,規格名,CAS No.,内容量,内容量単位,未開封,開封,SMILES,構造式,官能基,,薬品名（日本語Ⅰ）,薬品名（日本語Ⅱ）,薬品名（日本語Ⅲ）,薬品名（英語Ⅰ）,薬品名（英語Ⅱ）,薬品名（英語Ⅲ）,メーカー（日本語）,メーカー（英語）,規格（日本語）,規格（英語）,内容量,内容量単位（日本語）,内容量単位（英語）,比重,保存方法（日本語）,保存方法（英語）,廃棄区分（日本語）,廃棄区分（英語）,PRTR 種別（薬品）,PRTR 管理番号（薬品）,PRTR 含有率（%）（薬品）,CAS No.,薬品ラベルバーコードNo.,製品番号,標準価格（円）,示性式,容器区分（日本語）,容器区分（英語）,形状,純度規格,式量,物性,管理方法（日本語）,管理方法（英語）,管理方法単位（日本語）,管理方法単位（英語）,計量方法（日本語）,計量方法（英語）,計量方法単位（日本語）,計量方法単位（英語）,入力方法（日本語）,入力方法（英語）,使用期限・未開封（年）,使用期限・未開封（日）,使用期限・開封（年）,使用期限・開封（日）,オリジナルワード,SDS（英語）,構造式（日本語）,構造式（英語）,分子式,増減許容値（+）,増減許容値（+）単位（日本語）,増減許容値（+）単位（英語）,増減許容値（-）,増減許容値（-）単位（日本語）,増減許容値（-）単位（英語）,増減許容値（%+）,増減許容値（%-）
(Ｓ)－(＋)－２－フェニルグリシノール,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aldrich,-, 20989-17-7,5,g,0,1,,,,,(Ｓ)－(＋)－２－フェニルグリシノール,,,"(S)-(+)-2-PHENYLGLYCINOL, 98%",,,Aldrich,,-,-,5,g,g,1,室温,,-,-,,,, 20989-17-7,,282693,,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
(S)-(+)-イブプロフェン,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 51146-56-6,1,g,1,0,,,,,(S)-(+)-イブプロフェン,,,(S)-(+)-Ibuprofen,,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 51146-56-6,OC4BG,I0549,1900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
(S)-1-フェニル-2-(p-トリル)エチルアミン,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 30339-30-1,25,g,3,0,,,,,(S)-1-フェニル-2-(p-トリル)エチルアミン,,,(S)-1-Phenyl-2-(p-tolyl)ethylamine,,,東京化成工業株式会社,,-,-,25,g,g,1.02,-,-,-,-,,,, 30339-30-1,JDGKG,P1118,72400,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
(S)-2-(tert-ブトキシカルボニルアミノ)酪酸,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 34306-42-8,5,g,1,0,,,,,(S)-2-(tert-ブトキシカルボニルアミノ)酪酸,,,(S)-2-(tert-Butoxycarbonylamino)butyric Acid,,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 34306-42-8,3LAEG,B5115,3100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
(S)-3-ｱﾐﾉ-3-ﾌｪﾆﾙﾌﾟﾛﾊﾟﾝ-1-ｵｰﾙ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Thermo Fisher Scientific Inc.,-, 82769-76-4,1,g,1,0,,,,,(S)-3-ｱﾐﾉ-3-ﾌｪﾆﾙﾌﾟﾛﾊﾟﾝ-1-ｵｰﾙ,,,(S)-3-Amino-3-phenylpropan-1-ol,,,Thermo Fisher Scientific Inc.,,-,-,1,g,g,1,-,-,-,-,,,, 82769-76-4,,36217-2A,86350,C9H13NO,ガラスビン,,,,151.2054,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,C9／H13／N1／O1,,,,,,,,
1-(2-シアノエチル)-2-フェニルイミダゾール,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 23996-12-5,25,g,1,0,,,,,1-(2-シアノエチル)-2-フェニルイミダゾール,,,1-(2-Cyanoethyl)-2-phenylimidazole,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 23996-12-5,RGUKG,C1964,5400,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1-(2-ヒドロキシエチル)-3,3-ジメチルインドリノ-6'-ニトロベンゾピリロスピラン",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 16111-07-2,5,g,8,0,,,,,"1-(2-ヒドロキシエチル)-3,3-ジメチルインドリノ-6'-ニトロベンゾピリロスピラン",,,"1-(2-Hydroxyethyl)-3,3-dimethylindolino-6'-nitrobenzopyrylospiran",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 16111-07-2,P7MEG,H1042,47100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
1-(2-ピリジル)ピペラジン,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 34803-66-2,5,g,1,0,,,,,1-(2-ピリジル)ピペラジン,,,1-(2-Pyridyl)piperazine,,,東京化成工業株式会社,,-,-,5,g,g,1.12,-,-,-,-,,,, 34803-66-2,JA3EG,P1033,4000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
1-(2-ﾋﾟﾘｼﾞﾙｱｿﾞ)-2-ﾅﾌﾄｰﾙ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,関東化学株式会社,鹿特級, 85-85-8,5,g,2,0,,,,,1-(2-ﾋﾟﾘｼﾞﾙｱｿﾞ)-2-ﾅﾌﾄｰﾙ,PAN,,1-(2-Pyridylazo)-2-naphthol,PAN,,関東化学株式会社,"Kanto Chemical Co., Inc.",鹿特級,,5,g,g,1,-,-,-,-,,,, 85-85-8,3249250P,32492-50,20500,C5H4NN:NC10H6OH,ガラスビン,,,,249.2668,mp.139℃～144℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,85858.jpg,,C15／H11／N3／O1,,,,,,,,
1-(3-ジメチルアミノプロピル)-3-エチルカルボジイミド,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,東京化成工業株式会社,-, 1892-57-5,25,g,1,0,,,,,1-(3-ジメチルアミノプロピル)-3-エチルカルボジイミド,,,1-(3-Dimethylaminopropyl)-3-ethylcarbodiimide,,,東京化成工業株式会社,,-,-,25,g,g,0.88,冷凍保存(-20℃),,-,-,,,, 1892-57-5,WXCKG,D4029,18300,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
1-(4-ニトロフェニル)ピペラジン,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 6269-89-2,5,g,1,0,,,,,1-(4-ニトロフェニル)ピペラジン,,,1-(4-Nitrophenyl)piperazine,,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 6269-89-2,PVYEG,N0694,3700,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
1-(o-トリル)ビグアニド,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 93-69-6,25,g,1,0,,,,,1-(o-トリル)ビグアニド,,,1-(o-Tolyl)biguanide,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 93-69-6,KUZKG,T0314,3500,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,1,1,3,3,3-ヘキサフルオロプロパン-2-オール",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 920-66-1,25,g,1,0,,,,,"1,1,1,3,3,3-ヘキサフルオロプロパン-2-オール",,,"1,1,1,3,3,3-Hexafluoropropan-2-ol",,,東京化成工業株式会社,,-,-,25,g,g,1.62,-,-,-,-,,,, 920-66-1,GBCKG,H0424,7400,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,1,1-トリス(4-ヒドロキシフェニル)エタン",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 27955-94-8,25,g,1,0,,,,,"1,1,1-トリス(4-ヒドロキシフェニル)エタン",,,"1,1,1-Tris(4-hydroxyphenyl)ethane",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 27955-94-8,LK3KG,T1254,5300,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,10-フェナントロリン",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aldrich,-, 66-71-7,5,g,1,0,,,,,"1,10-フェナントロリン",,,"1,10-PHENANTHROLINE, 99+%",,,Aldrich,,-,-,5,g,g,1,室温,,-,-,,,, 66-71-7,,131377,,,-,-,,99+%,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,1-シクロブタンジカルボン酸",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 5445-51-2,5,g,1,0,,,,,"1,1-シクロブタンジカルボン酸",,,"1,1-Cyclobutanedicarboxylic Acid",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 5445-51-2,C4HEG,C0769,2600,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,1-ジメチルビグアニド塩酸塩 (25g)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,(株)ワコーケミカル (和光純薬取扱),-, 1115-70-4,25,g,1,2,,,,,"1,1-ジメチルビグアニド塩酸塩 (25g)",,,"1,1-Dimethylbiguanide Hydrochloride",,,(株)ワコーケミカル (和光純薬取扱),,-,-,25,g,g,1,室温,,-,-,,,, 1115-70-4,4.99E+12,328-22392,13000,(CH3)2NC(=NH)NHC(=NH)NH2・HCl,-,-,,97+%,,mp. 223～226℃ ,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,1-ビス(4-ヒドロキシフェニル)シクロヘキサン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 843-55-0,25,g,0,1,,,,,"1,1-ビス(4-ヒドロキシフェニル)シクロヘキサン",,,"1,1-Bis(4-hydroxyphenyl)cyclohexane",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 843-55-0,LWPKG,B1568,3500,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,2,4,5-テトラメチルイミダゾール",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 1739-83-9,25,g,1,0,,,,,"1,2,4,5-テトラメチルイミダゾール",,,"1,2,4,5-Tetramethylimidazole",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 1739-83-9,LC8KG,T0971,26200,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,2,4,5-ベンゼンテトラカルボン酸二無水物 (25g)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,富士フイルム和光純薬(株),-, 89-32-7,25,g,1,0,,,,,"1,2,4,5-ベンゼンテトラカルボン酸二無水物 (25g)",,,"1,2,4,5-Benzenetetracarboxylic Dianhydride",,,富士フイルム和光純薬(株),,-,-,25,g,g,1,室温,,-,-,,,, 89-32-7,4.99E+12,161-06782,2920,C10H2O6,,,,85+%(NMR),,mp. 約 287℃ bp. 397 - 400℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,2,4-ﾄﾘｱｿﾞ-ﾙ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,活性化剤, 288-88-0,25,g,1,0,,,,,"1,2,4-ﾄﾘｱｿﾞ-ﾙ",,,"1,2,4-Triazole",,,東京化成工業株式会社,,活性化剤,,25,g,g,1,-,-,-,-,,,, 288-88-0,KVPKG,T0340,2650,,ガラスビン,,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,10,,,,ra,,,,,,,,,,,,
"1,2-エタンジスルホン酸二水和物",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 5982-56-9,5,g,1,0,,,,,"1,2-エタンジスルホン酸二水和物",,,"1,2-Ethanedisulfonic AcidDihydrate",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 5982-56-9,MHLEG,E0453,6000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,2-ジ(4-ピリジル)エタン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 4916-57-8,5,g,3,0,,,,,"1,2-ジ(4-ピリジル)エタン",,,"1,2-Di(4-pyridyl)ethane",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 4916-57-8,US8EG,D3752,16800,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,2-ジメチル-5-ニトロイミダゾール",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 551-92-8,25,g,1,0,,,,,"1,2-ジメチル-5-ニトロイミダゾール",,,"1,2-Dimethyl-5-nitroimidazole",,,東京化成工業株式会社,,-,-,25,g,g,1,冷蔵貯蔵,,-,-,,,, 551-92-8,EQOKG,D1564,3800,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,2-ジメチルイミダゾール",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 1739-84-0,25,g,1,0,,,,,"1,2-ジメチルイミダゾール",,,"1,2-Dimethylimidazole",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 1739-84-0,EQMKG,D1562,2600,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
１，２－ジメチルイミダゾール,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aldrich,-, 1739-84-0,5,g,1,0,,,,,１，２－ジメチルイミダゾール,,,"1,2-DIMETHYLIMIDAZOLE, 98%",,,Aldrich,,-,-,5,g,g,1,室温,,-,-,,,, 1739-84-0,,136131,,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,2-ｼﾞﾒﾄｷｼｴﾀﾝ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,有機化合物, 110-71-4,500,ml,1,0,,,,,"1,2-ｼﾞﾒﾄｷｼｴﾀﾝ",,,"1,2-Dimethoxyethane",,,東京化成工業株式会社,,有機化合物,,500,ml,ml,0.87,-,-,-,-,1,661,100, 110-71-4,D0VKM,D0634,4400,,ガラスビン,,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,10,,,,ｆｇ,,,,,,,,,,,,
１，２－ジヨードエタン,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aldrich,-, 624-73-7,5,g,1,0,,,,,１，２－ジヨードエタン,,,"1,2-DIIODOETHANE, 99%",,,Aldrich,,-,-,5,g,g,1,冷蔵貯蔵,,-,-,,,, 624-73-7,,D122807,,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,2-ﾌﾟﾛﾊﾟﾝｼﾞｵｰﾙ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,関東化学株式会社,特級, 57-55-6,500,ml,1,0,,,,,"1,2-ﾌﾟﾛﾊﾟﾝｼﾞｵｰﾙ","1,2-ｼﾞﾋﾄﾞﾛｷｼﾌﾟﾛﾊﾟﾝ",ﾌﾟﾛﾋﾟﾚﾝｸﾞﾘｺｰﾙ,"1,2-Propanediol","1,2-Dihydroxypropane",Propylene glycol,関東化学株式会社,"Kanto Chemical Co., Inc.",特級,,500,ml,ml,1.036,-,-,-,-,,,, 57-55-6,3245800M,32458-00,2000,CH3CH(OH)CH2OH,ガラスビン,,"無色,粘性,液体",>99.0%(GC),76.0944,bp.188.2℃ mp.-60℃ d(25/4℃) 1.036 Fp.98.9℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,C3／H8／O2,,,,,,,,
"1,3,3-トリメチル-2-メチレンインドリン",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 118-12-7,25,ml,1,0,,,,,"1,3,3-トリメチル-2-メチレンインドリン",,,"1,3,3-Trimethyl-2-methyleneindoline",,,東京化成工業株式会社,,-,-,25,ml,ml,0.98,-,-,-,-,,,, 118-12-7,LAOKM,T0879,2500,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1',3',3'-ﾄﾘﾒﾁﾙ-6-ﾋﾄﾞﾛｷｼｽﾋﾟﾛ(2H-1-ﾍﾞﾝｿﾞﾋﾟﾗﾝ-2,2'-ｲﾝﾄﾞﾘﾝ)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Thermo Fisher Scientific Inc.,-, 23001-29-8,5,g,1,0,,,,,"1',3',3'-ﾄﾘﾒﾁﾙ-6-ﾋﾄﾞﾛｷｼｽﾋﾟﾛ(2H-1-ﾍﾞﾝｿﾞﾋﾟﾗﾝ-2,2'-ｲﾝﾄﾞﾘﾝ)",,,"1',3',3'-Trimethyl-6-hydroxyspiro(2H-1-benzopyran-2,2'-indoline)",,,Thermo Fisher Scientific Inc.,,-,-,5,g,g,1,-,-,-,-,,,, 23001-29-8,,42192-1A,56430,C19H19NO2,ガラスビン,,,,293.3587,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,23001298.jpg,,C19／H19／N1／O2,,,,,,,,
"1,3,3-トリメチルインドリノ-6'-ニトロベンゾピリロスピラン",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 1498-88-0,1,g,3,0,,,,,"1,3,3-トリメチルインドリノ-6'-ニトロベンゾピリロスピラン",,,"1,3,3-Trimethylindolino-6'-nitrobenzopyrylospiran",,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 1498-88-0,KWFBG,T0366,7100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,3,3-トリメチルインドリノ-6'-ブロモベンゾピリロスピラン",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 16650-14-9,1,g,1,0,,,,,"1,3,3-トリメチルインドリノ-6'-ブロモベンゾピリロスピラン",,,"1,3,3-Trimethylindolino-6'-bromobenzopyrylospiran",,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 16650-14-9,KWJBG,T0370,19000,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,3,3-トリメチルインドリノ-β-ナフトピリロスピラン",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 1592-43-4,1,g,1,0,,,,,"1,3,3-トリメチルインドリノ-β-ナフトピリロスピラン",,,"1,3,3-Trimethylindolino-beta-naphthopyrylospiran",,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 1592-43-4,KX0BG,T0423,6300,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,3,3-トリメチルインドリノベンゾピリロスピラン",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 1485-92-3,1,g,1,0,,,,,"1,3,3-トリメチルインドリノベンゾピリロスピラン",,,"1,3,3-Trimethylindolinobenzopyrylospiran",,,東京化成工業株式会社,,-,-,1,g,g,1,-,-,-,-,,,, 1485-92-3,KVTBG,T0344,12400,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,3,5-ｼｸﾛﾍｷｻﾝﾄﾘｶﾙﾎﾞﾝ酸",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aldrich,-, 16526-68-4,10,g,1,0,,,,,"1,3,5-ｼｸﾛﾍｷｻﾝﾄﾘｶﾙﾎﾞﾝ酸",,,"1,3,5-Cyclohexanetricarboxylic acid, cis 95 %",,,Aldrich,,-,-,10,g,g,1,室温,,-,-,,,, 16526-68-4,,344346,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,3,5-トリアジン",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 290-87-9,5,g,1,0,,,,,"1,3,5-トリアジン",,,"1,3,5-Triazine",,,東京化成工業株式会社,,-,-,5,g,g,1,-,-,-,-,,,, 290-87-9,KVOEG,T0339,15500,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,3,5-ベンゼントリカルボン酸 (25g)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光特級, 554-95-0,25,g,1,0,,,,,"1,3,5-ベンゼントリカルボン酸 (25g)",,,"1,3,5-Benzenetricarboxylic Acid",,,富士フイルム和光純薬(株),,和光特級,,25,g,g,1,室温,,-,-,,,, 554-95-0,4.99E+12,204-03642,19400,C6H3(COOH)3,,,,98+%(Titration),,mp. ＞300～330℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,3-ジ(4-ピリジル)プロパン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 17252-51-6,25,g,1,0,,,,,"1,3-ジ(4-ピリジル)プロパン",,,"1,3-Di(4-pyridyl)propane",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 17252-51-6,D9BKG,D0938,9900,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,3-ジ(o-トリル)チオ尿素",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 137-97-3,25,g,1,0,,,,,"1,3-ジ(o-トリル)チオ尿素",,,"1,3-Di(o-tolyl)thiourea",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 137-97-3,D5JKG,D0802,4200,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"1,3-ジ-4-ピペリジルプロパン",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 16898-52-5,25,g,1,0,,,,,"1,3-ジ-4-ピペリジルプロパン",,,"1,3-Di-4-piperidylpropane",,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 16898-52-5,DREKG,D0293,5100,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
